,title,year,advisory,movie_length,genre,rating,metascore,description,votes
0,152.Avengers: Infinity War(2018),(2018),PG-13,149 min,"Action, Adventure, Sci-Fi",8.4,"68        
        Metascore",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"Votes:
1,062,855
| Gross:
$678.82M"
1,155.The King's Man(2021),(2021),R,131 min,"Action, Adventure, Thriller",6.3,"44        
        Metascore","In the early years of the 20th century, the Kingsman agency is formed to stand against a cabal plotting a war to wipe out millions.","Votes:
143,198"
2,157.Star Wars: The Rise Of Skywalker(2019),(2019),PG-13,141 min,"Action, Adventure, Fantasy",6.5,"53        
        Metascore","In the riveting conclusion of the landmark Skywalker saga, new legends will be born-and the final battle for freedom is yet to come.","Votes:
446,725
| Gross:
$515.20M"
3,158.Guardians of the Galaxy(2014),(2014),PG-13,121 min,"Action, Adventure, Comedy",8.0,"76        
        Metascore",A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,"Votes:
1,167,906
| Gross:
$333.18M"
4,160.Harry Potter and the Chamber of Secrets(2002),(2002),PG,161 min,"Adventure, Family, Fantasy",7.4,"63        
        Metascore",An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed.,"Votes:
629,433
| Gross:
$261.99M"
5,161.Legend(1985),(1985),PG,94 min,"Adventure, Fantasy, Romance",6.3,"30        
        Metascore",A young man must stop the Lord of Darkness from destroying daylight and marrying the woman he loves.,"Votes:
66,703
| Gross:
$15.50M"
6,163.Aliens(1986),(1986),R,137 min,"Action, Adventure, Sci-Fi",8.4,"84        
        Metascore","Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.","Votes:
713,264
| Gross:
$85.16M"
7,164.Stardust(2007),(2007),PG-13,127 min,"Adventure, Family, Fantasy",7.6,"66        
        Metascore","In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.","Votes:
272,701
| Gross:
$38.63M"
8,165.Thor: Ragnarok(2017),(2017),PG-13,130 min,"Action, Adventure, Comedy",7.9,"74        
        Metascore","Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.","Votes:
743,068
| Gross:
$315.06M"
9,170.Star Trek(2009),(2009),PG-13,127 min,"Action, Adventure, Sci-Fi",7.9,"82        
        Metascore",The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,"Votes:
603,112
| Gross:
$257.73M"
10,173.Rat Race(2001),(2001),PG-13,112 min,"Action, Adventure, Comedy",6.4,"52        
        Metascore","A Las Vegas casino magnate, determined to find a new avenue for wagering, sets up a race for money.","Votes:
116,597
| Gross:
$56.62M"
11,175.Pirates of the Caribbean: The Curse of the Black Pearl(2003),(2003),PG-13,143 min,"Action, Adventure, Fantasy",8.1,"63        
        Metascore","Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.","Votes:
1,119,378
| Gross:
$305.41M"
12,176.Hotel Transylvania(2012),(2012),PG,91 min,"Animation, Adventure, Comedy",7.0,"47        
        Metascore","Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teenaged daughter.","Votes:
255,259
| Gross:
$148.31M"
13,177.Mad Max: Fury Road(2015),(2015),R,120 min,"Action, Adventure, Sci-Fi",8.1,"90        
        Metascore","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.","Votes:
993,389
| Gross:
$154.06M"
14,178.The Hobbit: The Desolation of Smaug(2013),(2013),PG-13,161 min,"Adventure, Fantasy",7.8,"66        
        Metascore","The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.","Votes:
660,175
| Gross:
$258.37M"
15,179.X-Men: Apocalypse(2016),(2016),PG-13,144 min,"Action, Adventure, Sci-Fi",6.9,"52        
        Metascore","In the 1980s the X-Men must defeat an ancient all-powerful mutant, En Sabah Nur, who intends to thrive through bringing destruction to the world.","Votes:
433,781
| Gross:
$155.44M"
16,180.Casino Royale(2006),(2006),PG-13,144 min,"Action, Adventure, Thriller",8.0,"80        
        Metascore","After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.","Votes:
655,062
| Gross:
$167.45M"
17,181.Harry Potter and the Deathly Hallows: Part 2(2011),(2011),PG-13,130 min,"Adventure, Family, Fantasy",8.1,"85        
        Metascore","Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.","Votes:
867,827
| Gross:
$381.01M"
18,182.Beauty and the Beast(I) (2017),(I) (2017),PG,129 min,"Adventure, Family, Fantasy",7.1,"65        
        Metascore","A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.","Votes:
308,090
| Gross:
$504.01M"
19,184.The World Is Not Enough(1999),(1999),PG-13,128 min,"Action, Adventure, Thriller",6.4,"57        
        Metascore","James Bond uncovers a nuclear plot while protecting an oil heiress from her former kidnapper, an international terrorist who can't feel pain.","Votes:
201,352
| Gross:
$126.94M"
20,186.Labyrinth(1986),(1986),PG,101 min,"Adventure, Family, Fantasy",7.3,"50        
        Metascore",Sixteen-year-old Sarah is given thirteen hours to solve a labyrinth and rescue her baby brother Toby when her wish for him to be taken away is granted by the Goblin King Jareth.,"Votes:
137,502
| Gross:
$12.73M"
21,188.Luck(I) (2022),(I) (2022),G,105 min,"Animation, Adventure, Comedy",6.4,"48        
        Metascore",The curtain is pulled back on the millennia-old battle between the organizations of good luck and bad luck that secretly affects everyday lives.,"Votes:
16,328"
22,191.Spider-Man: Into the Spider-Verse(2018),(2018),PG,117 min,"Animation, Action, Adventure",8.4,"87        
        Metascore","Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","Votes:
518,539
| Gross:
$190.24M"
23,193.Corvette Summer(1978),(1978),PG,105 min,"Adventure, Comedy",5.6,"53        
        Metascore",A high school grad and a hooker-in-training try to track down his stolen Corvette.,"Votes:
3,335
| Gross:
$15.50M"
24,194.Black Widow(2021),(2021),PG-13,134 min,"Action, Adventure, Sci-Fi",6.7,"67        
        Metascore",Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.,"Votes:
371,818
| Gross:
$183.65M"
25,195.Miss Peregrine's Home for Peculiar Children(2016),(2016),PG-13,127 min,"Adventure, Drama, Family",6.7,"57        
        Metascore","When Jacob (Asa Butterfield) discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.","Votes:
172,893
| Gross:
$87.24M"
26,196.Suicide Squad(2016),(2016),PG-13,123 min,"Action, Adventure, Fantasy",5.9,"40        
        Metascore",A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,"Votes:
682,476
| Gross:
$325.10M"
27,197.Coco(I) (2017),(I) (2017),PG,105 min,"Animation, Adventure, Comedy",8.4,"81        
        Metascore","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","Votes:
498,878
| Gross:
$209.73M"
28,198.Iron Man(2008),(2008),PG-13,126 min,"Action, Adventure, Sci-Fi",7.9,"79        
        Metascore","After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.","Votes:
1,050,680
| Gross:
$318.41M"
29,151.Toy Story 4(2019),(2019),G,100 min,"Animation, Adventure, Comedy",7.7,"84        
        Metascore","When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.","Votes:
248,681
| Gross:
$434.04M"
30,152.Rumble(2021),(2021),PG,95 min,"Animation, Comedy, Family",5.9,"48        
        Metascore","In a world where monster wrestling is a global sport and monsters are superstar athletes, teenage Winnie seeks to follow in her father's footsteps by coaching a loveable underdog monster into a champion.","Votes:
6,507"
31,157.Fantastic Mr. Fox(2009),(2009),PG,87 min,"Animation, Adventure, Comedy",7.9,"83        
        Metascore",An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.,"Votes:
231,102
| Gross:
$21.00M"
32,158.Chicken Run(2000),(2000),G,84 min,"Animation, Adventure, Comedy",7.1,"88        
        Metascore","When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners.","Votes:
192,494
| Gross:
$106.83M"
33,159.The Book of Life(2014),(2014),PG,95 min,"Animation, Adventure, Comedy",7.2,"67        
        Metascore","Manolo, a young man who is torn between fulfilling the expectations of his family and following his heart, embarks on an adventure that spans three fantastic worlds where he must face his greatest fears.","Votes:
71,717
| Gross:
$50.15M"
34,161.Grave of the Fireflies(1988),(1988),Not Rated,89 min,"Animation, Drama, War",8.5,"94        
        Metascore",A young boy and his little sister struggle to survive in Japan during World War II.,"Votes:
275,061"
35,163.Mulan(1998),(1998),G,88 min,"Animation, Adventure, Comedy",7.6,"71        
        Metascore","To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.","Votes:
287,219
| Gross:
$120.62M"
36,164.Perfect Blue(1997),(1997),R,81 min,"Animation, Crime, Drama",8.0,"67        
        Metascore","A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.","Votes:
76,389
| Gross:
$0.78M"
37,165.Atlantis: The Lost Empire(2001),(2001),PG,95 min,"Animation, Action, Adventure",6.9,"52        
        Metascore",A young linguist named Milo Thatch joins an intrepid group of explorers to find the mysterious lost continent of Atlantis.,"Votes:
120,358
| Gross:
$84.05M"
38,166.Ice Age(2002),(2002),PG,81 min,"Animation, Adventure, Comedy",7.5,"61        
        Metascore","The story revolves around sub-zero heroes: a woolly mammoth, a saber-toothed tiger, a sloth and a prehistoric combination of a squirrel and rat, known as Scrat.","Votes:
481,504
| Gross:
$176.39M"
39,170.The Emperor's New Groove(2000),(2000),G,78 min,"Animation, Adventure, Comedy",7.4,"70        
        Metascore","Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder.","Votes:
203,934
| Gross:
$89.30M"
40,171.Shrek 2(2004),(2004),PG,93 min,"Animation, Adventure, Comedy",7.3,"75        
        Metascore","Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be.","Votes:
461,211
| Gross:
$436.47M"
41,173.Princess Mononoke(1997),(1997),PG-13,134 min,"Animation, Action, Adventure",8.4,"76        
        Metascore","On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.","Votes:
391,980
| Gross:
$2.38M"
42,175.Wreck-It Ralph(2012),(2012),PG,101 min,"Animation, Adventure, Comedy",7.7,"72        
        Metascore","A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.","Votes:
421,259
| Gross:
$189.42M"
43,176.Incredibles 2(2018),(2018),PG,118 min,"Animation, Action, Adventure",7.6,"80        
        Metascore",The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,"Votes:
295,160
| Gross:
$608.58M"
