,title,year,advisory,movie_length,genre,rating,metascore,description,votes
0,101.Thirteen Lives(2022),(2022),PG-13,147 min,"Action, Adventure, Biography",7.8,"66        
        Metascore",A rescue mission is assembled in Thailand where a group of young boys and their soccer coach are trapped in a system of underground caves that are flooding.,"Votes:
46,505"
1,103.Gladiator(2000),(2000),R,155 min,"Action, Adventure, Drama",8.5,"67        
        Metascore",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"Votes:
1,486,221
| Gross:
$187.71M"
2,104.The Goonies(1985),(1985),PG,114 min,"Adventure, Comedy, Family",7.7,"62        
        Metascore",A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.,"Votes:
273,011
| Gross:
$61.50M"
3,109.National Lampoon's Vacation(1983),(1983),R,98 min,"Adventure, Comedy",7.3,"55        
        Metascore",The Griswold family's cross-country drive to the Walley World theme park proves to be much more arduous than they ever anticipated.,"Votes:
109,726
| Gross:
$61.40M"
4,110.The Hobbit: An Unexpected Journey(2012),(2012),PG-13,169 min,"Adventure, Fantasy",7.8,"58        
        Metascore","A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.","Votes:
823,646
| Gross:
$303.00M"
5,111.Robin Hood(2010),(2010),PG-13,140 min,"Action, Adventure, Drama",6.6,"53        
        Metascore","In twelfth-century England, Robin Longstride and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.","Votes:
269,626
| Gross:
$105.27M"
6,112.Enola Holmes(2020),(2020),PG-13,123 min,"Action, Adventure, Crime",6.6,"68        
        Metascore","When Enola Holmes-Sherlock's teen sister-discovers her mother is missing, she sets off to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy around a mysterious young Lord.","Votes:
171,744"
7,113.Star Wars: Episode VIII - The Last Jedi(2017),(2017),PG-13,152 min,"Action, Adventure, Fantasy",6.9,"84        
        Metascore","The Star Wars saga continues as new heroes and galactic legends go on an epic adventure, unlocking mysteries of the Force and shocking revelations of the past.","Votes:
627,551
| Gross:
$620.18M"
8,114.The Mummy(1999),(1999),PG-13,124 min,"Action, Adventure, Fantasy",7.1,"48        
        Metascore","At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreak havoc as he searches for the reincarnation of his long-lost love.","Votes:
428,686
| Gross:
$155.25M"
9,115.The Blue Lagoon(1980),(1980),R,104 min,"Adventure, Drama, Romance",5.8,"31        
        Metascore","In the Victorian period, two children are shipwrecked on a tropical island in the South Pacific. With no adults to guide them, the two make a simple life together, unaware that sexual maturity will eventually intervene.","Votes:
70,772
| Gross:
$58.85M"
10,117.Jurassic Park(1993),(1993),PG-13,127 min,"Action, Adventure, Sci-Fi",8.2,"68        
        Metascore",A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,"Votes:
981,144
| Gross:
$402.45M"
